"04-21-2026 19:05 UTC"
"Alabama","200.41000000000003"
"BYU","102.65"
"Ball State","39.18"
"Boston College","30.79"
"Buffalo","41.48"
"Cal (Berkeley)","128.0"
"Clemson","59.54"
"Colorado","121.0"
"Connecticut (UConn)","20.62"
"Duke","33.1"
"Florida","112.85"
"Georgia","1552.52"
"Georgia Tech","1522.82"
"Hawai'i","283.31"
"Illinois","2626.86"
"Indiana","36.95"
"Iowa","629.29"
"Kennesaw State","36.64"
"Kentucky","646.5"
"Louisiana Lafayette","103.77000000000001"
"Louisiana Monroe","17.45"
"Louisiana State (LSU)","2.0"
"Louisiana Tech","2053.17"
"Marquette","121.38"
"Maryland","602.65"
"Memphis","20.15"
"Miami (FL)","434.24"
"Michigan","3604.74"
"Michigan State","302.82"
"Minnesota","1026.58"
"Missouri (Mizzou)","1692.84"
"Navy","95.14"
"Nebraska","147.82"
"North Carolina State","496.1"
"Notre Dame","181.9"
"Ohio State","765.76"
"Oregon","20.77"
"Oregon State","51.32"
"Penn State","574.28"
"Pittsburgh (Pitt)","222.42"
"Protect Trans Kids University","2301.4000000000005"
"Purdue","374.73"
"Rutgers","51.32"
"South Florida (USF)","186.42"
"Stanford","51.32"
"Tennessee","379.46"
"Texas","112.91"
"Texas A&M","112.84"
"Texas Christian (TCU)","49.41"
"Toledo","51.32"
"UCF (Central Florida)","124.18"
"UMass","13.65"
"Utah","128.32"
"Vanderbilt","86.78999999999999"
"Virginia (UVA)","51.32"
"Virginia Tech","51.32"
"Washington","6001.14"
"Washington State","16.55"
"Western Michigan","356.32"
"William & Mary","51.32"
"Wisconsin","220.95999999999998"
